Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Datetime,,,,,,,,,,,,,,,
2025-10-23 13:30:00+00:00,259.4798889160156,254.6300048828125,521.4050903320312,260.1799011230469,255.86000061035156,523.2000122070312,258.0101013183594,252.76829528808594,518.6300048828125,259.8900146484375,253.85000610351562,522.2999877929688,6251007,2944025,2797429
2025-10-23 14:30:00+00:00,259.3999938964844,254.8249969482422,523.158203125,259.67999267578125,255.61000061035156,523.2349853515625,258.7300109863281,253.9499969482422,521.2550048828125,259.4200134277344,254.64959716796875,521.3499755859375,2852790,1090464,1388216
2025-10-23 15:30:00+00:00,260.0400085449219,255.35009765625,522.489990234375,260.6199035644531,255.57989501953125,523.9500122070312,259.0834045410156,254.22000122070312,521.4500122070312,259.3999938964844,254.8699951171875,523.1699829101562,3168121,1033282,1129335
2025-10-23 16:30:00+00:00,259.8599853515625,254.61000061035156,522.0599975585938,260.54998779296875,255.47999572753906,523.1099853515625,259.5199890136719,254.41000366210938,521.6300048828125,260.04998779296875,255.38999938964844,522.510009765625,2574209,1062244,856388
2025-10-23 17:30:00+00:00,259.9700012207031,255.3699951171875,523.1900024414062,260.42498779296875,255.38400268554688,523.3150024414062,259.8299865722656,254.58999633789062,522.010009765625,259.8800048828125,254.64999389648438,522.0900268554688,3320192,621593,866501
2025-10-23 18:30:00+00:00,259.8999938964844,254.4199981689453,522.5700073242188,260.0199890136719,255.38499450683594,523.6199951171875,259.6199951171875,254.2899932861328,522.3499755859375,259.9700012207031,255.36500549316406,523.1699829101562,2237171,1475381,1159348
2025-10-23 19:30:00+00:00,259.5799865722656,253.74000549316406,520.6749877929688,260.04998779296875,254.5377960205078,522.9299926757812,259.0799865722656,253.30999755859375,520.1400146484375,259.9100036621094,254.44000244140625,522.489990234375,3143856,2016241,1863494
2025-10-24 13:30:00+00:00,260.94140625,261.1499938964844,523.114990234375,261.6199951171875,262.510009765625,525.0499877929688,259.17999267578125,256.1000061035156,520.7100219726562,261.19000244140625,257.29998779296875,522.489990234375,7287527,5691820,3190181
