Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Datetime,,,,,,,,,,,,,,,
2025-10-21 13:30:00+00:00,263.4999084472656,252.4781951904297,514.85498046875,265.2900085449219,255.3300018310547,518.6900024414062,261.8800048828125,252.0,514.75,261.8800048828125,255.3300018310547,517.760009765625,17003580,3890195,2982387
2025-10-21 14:30:00+00:00,263.6619873046875,246.86000061035156,516.0499877929688,263.8299865722656,253.3300018310547,517.5599975585938,262.510009765625,244.67999267578125,514.0999755859375,263.4599914550781,252.4550018310547,514.85498046875,4721265,6709749,1652036
2025-10-21 15:30:00+00:00,263.1700134277344,249.5800018310547,515.72998046875,264.5350036621094,250.27000427246094,516.2100219726562,263.0801086425781,246.4600067138672,515.5499877929688,263.6700134277344,246.85000610351562,516.0759887695312,5514253,4494131,1015481
2025-10-21 16:30:00+00:00,263.3265075683594,252.10499572753906,514.2100219726562,263.6799011230469,252.94000244140625,515.889892578125,262.8475036621094,248.0500030517578,513.0399780273438,263.1600036621094,249.5749969482422,515.72998046875,2671606,5059000,1727603
2025-10-21 17:30:00+00:00,263.44989013671875,252.75,516.0150146484375,264.04998779296875,253.27200317382812,516.4400024414062,262.1499938964844,251.1199951171875,513.6400146484375,263.3258056640625,252.0800018310547,514.2349853515625,3718095,2560589,1385330
2025-10-21 18:30:00+00:00,263.0849914550781,252.19500732421875,517.1950073242188,263.7381896972656,253.0399932861328,517.6300048828125,262.95001220703125,251.94000244140625,515.8800048828125,263.4495849609375,252.7449951171875,516.0399780273438,3430980,1428354,2009027
2025-10-21 19:30:00+00:00,262.8399963378906,251.32000732421875,517.739990234375,263.2099914550781,252.3300018310547,518.3499755859375,262.4700012207031,251.27000427246094,516.97998046875,263.0950012207031,252.22000122070312,517.1599731445312,3493018,1673729,1583770
2025-10-22 13:30:00+00:00,260.0498962402344,253.89999389648438,523.4650268554688,262.8500061035156,257.0799865722656,524.2100219726562,259.7200012207031,253.6649932861328,519.0700073242188,262.7900085449219,255.0399932861328,521.1500244140625,9155667,5033181,4145652
